product_id,product_name,brand,offer_type,offer_details,price,mrp,valid_till
PRD-001,Wireless Headphones,TechBrand,Discount,20% off on select models,4999,6999,2025-12-31
PRD-002,Smart Watch Pro,TechBrand,Seasonal,Limited Time Offer,7999,9999,2025-12-15
PRD-003,Smartphone X,ElectroMax,Launch Offer,₹500 Cashback,29999,35999,2025-12-10
PRD-004,USB-C Cable,ConnectHub,Bundle Deal,Buy 2 Get 1 Free,399,599,2025-11-30
PRD-005,Portable Speaker,AudioTech,Flash Sale,25% off,1999,2699,2025-11-25
PRD-006,Phone Case,ProtectMax,Regular,All colors available,299,499,2025-12-31
PRD-007,Screen Protector,ClearGuard,Package Deal,Pack of 3 at special price,299,399,2025-12-20
PRD-008,Phone Stand,StandPro,Weekend Offer,Free with any purchase,199,299,2025-11-20
PRD-009,Charging Cable,FastCharge,Promotional,Buy 1 Get 1 at 50% off,499,799,2025-12-05
PRD-010,Tempered Glass,ShieldGlass,Offer,Premium quality protection,599,899,2025-12-25
PRD-011,Phone Mount,MountMax,Discount,15% off all mounts,599,799,2025-12-31
PRD-012,Laptop Stand,ErgoPro,Offer,Perfect for productivity,1999,2499,2025-12-15
PRD-013,Keyboard Wireless,TypeMaster,Flash,Buy and save,2499,3499,2025-12-10
PRD-014,Mouse Wireless,ClickPro,Deal,Comfortable grip design,799,1199,2025-12-20
PRD-015,USB Hub,ConnectMax,Seasonal,4-port connectivity hub,1299,1799,2025-11-30
PRD-016,Monitor Riser,ElevateDesk,Bundle,Desk organization,999,1499,2025-12-25
PRD-017,Webcam HD,FocusView,Offer,1080p crystal clear,1999,2599,2025-12-15
PRD-018,Microphone,VoiceClear,Discount,Professional audio recording,3499,4499,2025-12-31
PRD-019,Monitor Light,BrightDesk,Promo,Eye care technology,1299,1799,2025-12-10
PRD-020,Desk Organizer,OrganizeMax,Weekend,Keep your desk neat,599,899,2025-11-25
